
2021-12-03;15-22-32-767296  ;;;  b'Strike Detected! reading of; 326; High, Low; 236, -160; Current Danger Level; 6; at tic; 11908037\r\n'
2021-12-03;15-27-39-529323  ;;;  b'Strike Detected! reading of; -247; High, Low; 196, -149; Current Danger Level; 5; at tic; 12214816\r\n'
2021-12-03;15-27-39-544319  ;;;  b'Strike Detected! reading of; -248; High, Low; 196, -149; Current Danger Level; 6; at tic; 12214818\r\n'
2021-12-03;15-29-22-038583  ;;;  b'Strike Detected! reading of; 267; High, Low; 192, -151; Current Danger Level; 5; at tic; 12317321\r\n'
2021-12-03;15-29-22-057577  ;;;  b'Strike Detected! reading of; 264; High, Low; 192, -151; Current Danger Level; 6; at tic; 12317323\r\n'
2021-12-03;15-32-46-287209  ;;;  b'Strike Detected! reading of; -298; High, Low; 203, -146; Current Danger Level; 5; at tic; 12521558\r\n'
2021-12-03;15-34-28-389890  ;;;  b'Strike Detected! reading of; -254; High, Low; 224, -179; Current Danger Level; 6; at tic; 12623680\r\n'
2021-12-03;15-34-28-409879  ;;;  b'Strike Detected! reading of; -258; High, Low; 224, -179; Current Danger Level; 6; at tic; 12623682\r\n'
2021-12-03;15-36-10-341850  ;;;  b'Strike Detected! reading of; -289; High, Low; 223, -174; Current Danger Level; 5; at tic; 12725625\r\n'
2021-12-03;15-41-18-657865  ;;;  b'Strike Detected! reading of; 299; High, Low; 189, -141; Current Danger Level; 5; at tic; 13033945\r\n'
2021-12-03;15-44-43-420534  ;;;  b'Strike Detected! reading of; 296; High, Low; 206, -152; Current Danger Level; 5; at tic; 13238705\r\n'
2021-12-03;15-46-25-598695  ;;;  b'Strike Detected! reading of; -262; High, Low; 224, -165; Current Danger Level; 6; at tic; 13340879\r\n'
2021-12-03;15-51-31-737388  ;;;  b'Strike Detected! reading of; 328; High, Low; 189, -142; Current Danger Level; 5; at tic; 13647033\r\n'
2021-12-03;15-53-13-743162  ;;;  b'Strike Detected! reading of; -267; High, Low; 191, -149; Current Danger Level; 5; at tic; 13749049\r\n'
2021-12-03;15-53-13-755152  ;;;  b'Strike Detected! reading of; -224; High, Low; 191, -149; Current Danger Level; 6; at tic; 13749051\r\n'
2021-12-03;15-55-44-675365  ;;;  b'Strike Detected! reading of; -260; High, Low; 228, -167; Current Danger Level; 6; at tic; 13899890'
2021-12-03;15-58-20-547766  ;;;  b'Strike Detected! reading of; 294; High, Low; 189, -151; Current Danger Level; 5; at tic; 14055847\r\n'
2021-12-03;16-01-45-880878  ;;;  b'Strike Detected! reading of; -215; High, Low; 187, -141; Current Danger Level; 5; at tic; 14261193\r\n'
2021-12-03;16-01-45-896873  ;;;  b'Strike Detected! reading of; -282; High, Low; 187, -141; Current Danger Level; 6; at tic; 14261195\r\n'
2021-12-03;16-04-06-412298  ;;;  b'Strike Detected! reading of; 351; High, Low; 226, -178; Current Danger Level; 6; at tic; 14401681\r\n'
2021-12-03;16-05-09-836518  ;;;  b'Strike Detected! reading of; 271; High, Low; 201, -148; Current Danger Level; 5; at tic; 14465142\r\n'
2021-12-03;16-13-42-186714  ;;;  b'Strike Detected! reading of; -238; High, Low; 195, -152; Current Danger Level; 4; at tic; 14977502\r\n'
2021-12-03;16-15-23-038073  ;;;  b'Strike Detected! reading of; -305; High, Low; 192, -143; Current Danger Level; 5; at tic; 15078270'
2021-12-03;16-15-24-444631  ;;;  b'Strike Detected! reading of; -245; High, Low; 192, -143; Current Danger Level; 6; at tic; 15079768\r\n'
2021-12-03;16-18-48-516349  ;;;  b'Strike Detected! reading of; -242; High, Low; 199, -150; Current Danger Level; 5; at tic; 15283843\r\n'
2021-12-03;16-18-48-529345  ;;;  b'Strike Detected! reading of; -262; High, Low; 199, -150; Current Danger Level; 6; at tic; 15283845\r\n'
2021-12-03;16-23-54-804724  ;;;  b'Strike Detected! reading of; -215; High, Low; 183, -144; Current Danger Level; 5; at tic; 15590125\r\n'
2021-12-03;16-29-01-255017  ;;;  b'Strike Detected! reading of; -201; High, Low; 186, -147; Current Danger Level; 4; at tic; 15896596\r\n'
2021-12-03;16-29-01-270013  ;;;  b'Strike Detected! reading of; -292; High, Low; 186, -147; Current Danger Level; 5; at tic; 15896598\r\n'
2021-12-03;16-30-43-620029  ;;;  b'Strike Detected! reading of; -270; High, Low; 212, -164; Current Danger Level; 6; at tic; 15998954\r\n'
